Mississippi	666772	720	460	740	480
Oklahoma	687116	520	400	540	420
Arkansas	697288	640	410	660	430
Kansas	703645	480	320	500	340
Tennessee	707460	830	390	850	410
New Mexico	720175	340	400	360	420
Alabama	723989	790	450	810	470
Missouri	725261	640	320	660	340
Michigan	732890	790	180	810	200
Georgia	737876	840	450	860	470
Indiana	745605	770	260	790	280
West Virginia	754505	900	320	920	340
Nebraska	758320	480	240	500	260
Texas	762134	460	500	480	520
Iowa	767220	600	220	620	240
Ohio	772306	830	260	850	280
Louisiana	773578	660	520	680	540
Kentucky	774849	830	340	850	360
Idaho	797736	210	120	230	140
North Carolina	797736	980	370	100	390
South Carolina	801551	920	460	940	480
Illinois	804094	720	260	740	280
Wisconsin	811723	680	150	700	170	
Utah	815537	230	260	250	280
South Dakota	819352	480	150	500	170
North Dakota	820623	480	80	500	100
Florida	843510	920	580	940	600
Arizona	862583	210	400	230	420
Minnesota	871483	600	100	620	120
Pennyslvania	874026	980	220	100	240
Virginia 	885470	960	320	980	340
Wyoming	899284	320	190	340	210
Nevada	908357	140	240	160	260
Colorado	956674	340	280	360	300
New Hampshire	960488	1050	140	1060	150
Delaware	963031	1010	280	1020	290
Vermont	1060937	1030	140	1040	150
Montana	1060937	280	90	300	110
Maine	1083824	1080	80	1100	100
Washington	1083824	140	30	160	50
Rhode Island	1099082	1070	200	1080	210
New Jersey	1174100	1020	250	1030	260
Connecticut	1184272	1050	200	1060	210
Alaska	1213517	120	550	140	570
Maryland	1238947	980	280	990	290
Massachussets	1249119	1050	140	1060	140
New York	1308879	1000	160	1020	180
Oregon	1334309	120	120	140	140
California	1369911	70	280	90	300
Hawaii	2151884	400	680	410	690
